ARM,TIME,mean_conc,sd_conc,n,se_conc
No_inducer,0.5,0.4241666666666667,0.04420167280531223,12,0.012759923846389389
No_inducer,1,0.91,0.07804427647758092,12,0.022529442016520462
No_inducer,1.5,1.1641666666666666,0.08908201872772113,12,0.02571576374620254
No_inducer,2,1.2991666666666666,0.07692479601808667,12,0.022206275844199697
No_inducer,3,1.0583333333333333,0.07696910045104086,12,0.022219065432345895
No_inducer,4,0.7966666666666666,0.06485414871895712,12,0.018721780110476958
No_inducer,5,0.585,0.05213618530523516,12,0.015050420310248865
No_inducer,6,0.4241666666666667,0.04420167280531223,12,0.012759923846389389
No_inducer,8,0.20583333333333334,0.026097137890209454,12,0.007533594792995606
No_inducer,10,0.09166666666666667,0.012673044646258475,12,0.0036583928689847382
No_inducer,12,0.044000000000000004,0.005163977794943224,10,0.0016329931618554526
With_inducer,0.5,0.4425,0.046734258409553364,12,0.013491018336566584
With_inducer,1,0.9225,0.07759158811014598,12,0.022398762141121676
With_inducer,1.5,1.1391666666666667,0.08784887160586777,12,0.025359784834826316
With_inducer,2,1.1691666666666667,0.08784887160586777,12,0.025359784834826316
With_inducer,3,0.8375,0.07021072179194182,12,0.020268089563287767
With_inducer,4,0.5508333333333333,0.04944387696871039,12,0.01427321783883184
With_inducer,5,0.3591666666666667,0.034498572653828954,12,0.009958880104173005
With_inducer,6,0.2225,0.024167972796469903,12,0.006976692799904726
With_inducer,8,0.08,0.011281521496355324,12,0.003256694736394648
